# H0 k Omega_rbh chi2
74.4263 2.3698 0.1650 17.5954
74.2351 2.7296 0.1654 16.0006
74.2609 2.8297 0.1672 15.9213
74.1134 2.9096 0.1611 15.1357
74.1444 3.0562 0.1668 15.1204
74.5880 3.0214 0.1540 16.3009
74.5194 2.9535 0.1610 16.3680
74.8023 3.0065 0.1625 17.4165
74.8023 3.0065 0.1625 17.4165
74.6560 2.9848 0.1748 17.2339
74.7825 2.7859 0.1597 17.6943
74.3981 2.9159 0.1632 16.0771
73.9901 3.0738 0.1578 14.4368
74.0206 2.9058 0.1656 15.0148
73.7472 3.1837 0.1791 14.2171
73.7472 3.1837 0.1791 14.2171
73.6545 3.0738 0.1790 14.2138
73.6158 3.1367 0.1656 13.7056
73.9678 3.1963 0.1458 13.9258
73.9678 3.1963 0.1458 13.9258
73.9361 3.2725 0.1429 13.6956
73.9626 3.3294 0.1348 13.5310
73.8854 3.3442 0.1494 13.6319
73.2927 3.2885 0.1632 12.9555
72.7606 3.3168 0.1594 12.4985
73.0966 3.4279 0.1857 13.0300
73.0745 3.3195 0.1687 12.8152
72.9944 3.2436 0.1762 13.0115
72.6255 3.2789 0.1811 12.9548
72.4689 3.2135 0.1688 12.8314
72.7546 3.3151 0.1620 12.5477
73.3568 3.3544 0.1591 12.8733
72.8312 3.3789 0.1745 12.7250
73.0570 3.5532 0.1664 12.4973
72.3163 3.4822 0.1856 12.9036
72.1280 3.7240 0.1908 12.9015
72.1280 3.7240 0.1908 12.9015
72.0793 3.9151 0.1920 12.8031
72.0793 3.9151 0.1920 12.8031
72.0793 3.9151 0.1920 12.8031
71.1191 3.6385 0.1877 15.0125
70.9893 3.9626 0.1782 15.0976
71.2131 4.0423 0.1694 14.2623
71.3229 4.0447 0.1650 13.9054
71.4985 4.1234 0.1685 13.4472
71.5645 3.9754 0.1685 13.3741
71.9186 4.1657 0.1668 12.5647
71.6928 4.2630 0.1712 12.9693
72.0716 3.9550 0.1655 12.4534
71.8151 3.9900 0.1624 12.7916
71.8151 3.9900 0.1624 12.7916
72.3083 3.9785 0.1638 12.1675
73.1355 4.1912 0.1726 12.1010
72.6615 4.2060 0.1810 12.0488
73.0822 4.2151 0.1677 11.9858
73.0822 4.2151 0.1677 11.9858
73.0081 4.3437 0.1713 11.9034
73.0081 4.3437 0.1713 11.9034
72.9627 4.4848 0.1463 11.5388
72.9627 4.4848 0.1463 11.5388
72.8116 4.4058 0.1588 11.6735
72.5452 4.4366 0.1656 11.7732
72.5452 4.4366 0.1656 11.7732
72.4557 4.3323 0.1557 11.7717
73.0525 4.2028 0.1516 11.7816
73.1319 3.9023 0.1652 12.2170
73.2909 3.9735 0.1643 12.2944
73.2017 3.9496 0.1686 12.2864
72.8439 4.0374 0.1556 11.8538
72.9976 4.0616 0.1597 11.9407
72.7894 4.2186 0.1643 11.8385
72.7654 3.9362 0.1608 11.9795
72.5179 4.2824 0.1780 12.0052
72.5179 4.2824 0.1780 12.0052
72.5179 4.2824 0.1780 12.0052
72.5288 3.9880 0.1828 12.2683
72.2180 4.1662 0.1688 12.1927
72.4059 4.1396 0.1618 11.9719
72.5673 4.0146 0.1501 11.8264
72.8961 4.3777 0.1474 11.5812
72.8961 4.3777 0.1474 11.5812
72.8393 4.4941 0.1461 11.5048
72.8393 4.4941 0.1461 11.5048
72.8393 4.4941 0.1461 11.5048
73.3101 4.4040 0.1614 11.9855
73.2302 4.4035 0.1751 12.0663
73.2302 4.4035 0.1751 12.0663
73.0345 4.1210 0.1543 11.8532
72.7809 4.3424 0.1530 11.6435
72.7367 4.4723 0.1560 11.6112
72.7367 4.4723 0.1560 11.6112
